Year,Money
2007,988150.92
2007,988051.47
2007,1007474.18
2007,1023908.08
2007,1053549.58
2007,1065077.62
2007,1068173.32
2008,1054871.11
2008,1044677.41
2008,1050979.65
2008,1064945.73
2008,1066698.25
2008,1060419.92
2008,1054152.78
2008,1069145.84
2008,1025801.55
2008,970369.72
2008,1011643.18
2008,1078126.70
2009,1035931.06
2009,1018945.59
2009,1021432.18
2009,1013722.94
2009,984510.20
2009,996984.24
2009,1018237.00
2009,1031880.51
2009,1052722.35
2009,1041381.23
2009,1066538.04
2009,1050224.71
2010,1047999.85
2010,1067204.98
2010,1094453.88
2010,1118248.42
2010,1089551.84
2010,1082814.99
2010,1121270.03
2010,1124958.34
2010,1182105.42
2010,1199948.52
2010,1198702.45
2010,1228835.87
2011,1249718.57
2011,1287055.68
2011,1288929.56
2011,1327765.81
2011,1331469.53
2011,1313438.20
2011,1339463.73
2011,1375604.57
2011,1402156.62
2011,1437833.82
2011,1439084.95
2011,1463997.80
2012,1498990.87
2012,1499840.75
2012,1490470.85
2012,1509923.29
2012,1491330.89
2012,1512940.79
2012,1547506.34
2012,1575771.14
2012,1582992.99
2012,1551574.55
2012,1561981.91
2012,1553979.08
2013,1591026.72
2013,1604736.88
2013,1632129.52
2013,1671842.38
2013,1607362.44
2013,1565462.21
2013,1577692.03
2013,1561516.62
2013,1575362.93
2013,1603891.68
2013,1592672.50
2013,1581697.97
2014,1620798.00
2014,1624545.44
2014,1618749.53
2014,1633201.65
2014,1668695.34
2014,1691272.70
2014,1689021.73
2014,1743919.48
2014,1709940.50
2014,1735623.47
2014,1764155.77
2014,1766732.20
2015,1803483.47
2015,1834447.62
2015,1810997.85
2015,1828455.90
2015,1833046.35
2015,1778983.62
2015,1816836.95
2015,1769664.31
2015,1769664.42
2015,1808752.91
2015,1801951.32
2015,1785503.67
2016,1816211.70
2016,1842571.95
2016,1895551.89
2016,1893563.37
2016,1905739.54
2016,1981536.15
2016,2030973.28
2016,2016840.08
2016,2030515.81
2016,1997551.47
2016,1985281.53
2016,2013347.87
2017,2040125.61
2017,2103010.71
2017,2109082.47
2017,2130308.63
2017,2161654.73
2017,2138325.15
2017,2176814.38
2017,2205428.23
2017,2215368.89
2017,2272202.50
2017,2311735.21
2017,2329349.00
2018,2417138.02
2018,2343812.09
2018,2336018.65
2018,2352510.05
2018,2404835.66
2018,2417773.42
2018,2442484.72
2018,2482766.76
2018,2484433.88
2018,2452004.79
2018,2466819.49
2018,2449359.79
2019,2515322.49
2019,2536032.41
2019,2603239.62
2019,2613946.56
2019,2632725.77
2019,2696784.70
2019,2719879.69
2019,2824819.08
2019,2821793.93
2019,2824957.24
2019,2829050.51
2019,2840303.16
2020,2924499.30
2020,2860863.19
2020,2686759.60
2020,2960053.29
2020,3044995.16
2020,3088900.79
2020,3232064.52
2020,3221503.29
2020,3185996.84
2020,3116581.31
2020,3230748.16
2020,3259506.44
2021,3197694.99
2021,3093025.97
2021,3024347.68
2021,3042664.45
2021,3031299.75
2021,3115326.59
2021,3143140.86
2021,3169251.19
2021,3147897.61
2021,3217673.09
2021,3250704.62
2021,3260831.60
2022,3216073.93
2022,3191757.87
2022,3268874.64
2022,3183813.69
2022,3182274.30
2022,3156466.96
2022,3283278.09
2022,3264966.26
2022,3206945.69
2022,3286899.34
2022,3325969.28
2022,3213021.80
2023,3302166.70
2023,3283272.40
2023,3353341.58
2023,3367201.11
2023,3421840.49
2023,3464071.82
