Year,Money
2007,9743.52
2007,9571.43
2007,9769.65
2007,9938.13
2007,10105.05
2007,10031.83
2007,9830
2008,9877.77
2008,9587.2
2008,9611.16
2008,9722.74
2008,9655.15
2008,9096.24
2008,9208.7
2008,9356.36
2008,9223.65
2008,8290.51
2008,8513.87
2008,9057
2009,7986.82
2009,7376.37
2009,7870.97
2009,8218.29
2009,8440.48
2009,8505.76
2009,8972.3
2009,9200.55
2009,9511.37
2009,9368.39
2009,9766.7
2009,9683.71
2010,9576.21
2010,9709.99
2010,9973.58
2010,10198.39
2010,9929.83
2010,9990.22
2010,10393.22
2010,10575.54
2010,10999.21
2010,11048.38
2010,10889.87
2010,11136.14
2011,11046.74
2011,11359.32
2011,11480.85
2011,11886.18
2011,12006.44
2011,11791.72
2011,11808.81
2011,12179.71
2011,12257.43
2011,12702.93
2011,12824.98
2011,13030.19
2012,13192.32
2012,13294.74
2012,13238.84
2012,13466.11
2012,13493.38
2012,13807.08
2012,14165.66
2012,14179.04
2012,14232.33
2012,14174.22
2012,14239.51
2012,14159.16
2013,14419.45
2013,14569.71
2013,14920.94
2013,15411.83
2013,14910.9
2013,14571.44
2013,14944.63
2013,14611.54
2013,14910.34
2013,15421.24
2013,15335.94
2013,15379.37
2014,15376.66
2014,15820.05
2014,16046.19
2014,16371.45
2014,16622.69
2014,16862.18
2014,16603.98
2014,17196.74
2014,16795.99
2014,17249.78
2014,17593.91
2014,17730.73
2015,18249.63
2015,18127.43
2015,17934.79
2015,17879.92
2015,17719.41
2015,17092.57
2015,17389.59
2015,16848.67
2015,16859.97
2015,17588.54
2015,17466.72
2015,17322.54
2016,17525.21
2016,17953.61
2016,18714.24
2016,18780.04
2016,18840.02
2016,19725.44
2016,20213.27
2016,20042.51
2016,19990.39
2016,19438.32
2016,19124.86
2016,19340.12
2017,19527.59
2017,20025.61
2017,20013.23
2017,20160.25
2017,20465.55
2017,20516.11
2017,20681.05
2017,20928.27
2017,21031.69
2017,21261.96
2017,21765.49
2017,22139.17
2018,22412.99
2018,21474.24
2018,21529.34
2018,21364.79
2018,21634.3
2018,21713.2
2018,22081.71
2018,22312.75
2018,22200.88
2018,21344.34
2018,21851.68
2018,21351.63
2019,22215.52
2019,22494.14
2019,23099.71
2019,23296.23
2019,22958.23
2019,24026.24
2019,24167.81
2019,24874.23
2019,25218.76
2019,25373.69
2019,25659.57
2019,25860.48
2020,26250.75
2020,25380.75
2020,23548.72
2020,25162.21
2020,25465.63
2020,25579.48
2020,26697.52
2020,26839.96
2020,26402.97
2020,26009.25
2020,28137.64
2020,28710.63
2021,28200.02
2021,28484.5
2021,29281.67
2021,30109.5
2021,30742.94
2021,30873.67
2021,31425.82
2021,31725.55
2021,30643.28
2021,31640.75
2021,31495.92
2021,32686.06
2022,32124.85
2022,31765.13
2022,31830.74
2022,29965.06
2022,30440.2
2022,28744.79
2022,29639.4
2022,28613.57
2022,26245.22
2022,27210.81
2022,29274.82
2022,28524.82
2023,30021.91
2023,28776.37
2023,29307.83
2023,29434.81
2023,28238.17
2023,29071.86
