Year,Money
2007,9901.74
2007,9715.63
2007,9852.74
2007,10327.3
2007,10719.74
2007,10209.01
2007,10211.78
2008,9265.03
2008,9094.47
2008,9066.48
2008,9690.12
2008,10070.66
2008,9388.15
2008,9157.48
2008,9239.04
2008,8094.32
2008,6558.36
2008,5955.99
2008,6087.44
2009,5844.84
2009,5457.1
2009,5944.95
2009,6604.93
2009,6906.22
2009,7007.26
2009,7506.66
2009,7665.5
2009,8104.64
2009,7977.86
2009,8452.76
2009,8815.73
2010,8298.38
2010,8685.23
2010,9264.44
2010,9433.08
2010,8698.77
2010,8175.33
2010,8747.21
2010,8370.61
2010,9382.74
2010,9932.5
2010,10053.5
2010,10551.25
2011,10762.18
2011,11139.57
2011,11188.59
2011,11521.15
2011,11424.77
2011,11310.61
2011,11256.44
2011,10611.26
2011,9830.4
2011,10970.74
2011,10808.35
2011,10750.59
2012,11440.71
2012,12048.49
2012,12474.04
2012,12406.93
2012,11628.55
2012,11933.79
2012,12165.69
2012,12544.89
2012,12795.98
2012,12324.11
2012,12527.39
2012,12514.08
2013,13056.47
2013,13145.29
2013,13593.52
2013,13843.43
2013,14223.27
2013,13911.76
2013,14695.41
2013,14474.63
2013,15082.74
2013,15772.5
2013,16258.21
2013,16715.18
2014,16356.47
2014,17263.41
2014,16957.68
2014,16902.7
2014,17518.38
2014,18002.97
2014,17847.87
2014,18678.89
2014,18405.61
2014,18843.36
2014,19458.36
2014,19242.32
2015,18945.86
2015,20151.19
2015,19914.42
2015,19986.86
2015,20344.53
2015,20067.93
2015,20806.95
2015,19506.17
2015,18977.12
2015,20610.24
2015,20669.51
2015,20386.47
2016,18999.3
2016,18828.11
2016,20090.42
2016,19875.82
2016,20450.82
2016,20287.77
2016,21287.02
2016,21178.72
2016,21294.68
2016,20816.15
2016,21069.05
2016,21229.67
2017,22017.17
2017,22871.64
2017,23235.54
2017,23840.34
2017,24616.63
2017,24557.96
2017,25356.69
2017,25701.38
2017,26023.93
2017,27026.55
2017,27695.06
2017,27833.25
2018,30077.65
2018,29530.83
2018,28834.12
2018,28935.67
2018,30168.29
2018,30514.61
2018,31112.71
2018,32753.95
2018,32870.81
2018,29767.7
2018,30162.68
2018,27672.64
2019,30084.22
2019,31326.61
2019,32119.14
2019,33341.22
2019,31533.51
2019,33745.37
2019,34315.03
2019,33663.24
2019,33804.44
2019,34571.66
2019,36028.94
2019,37008.42
2020,37671.01
2020,35120.7
2020,30959.67
2020,35494.13
2020,38059.01
2020,39434
2020,42184.62
2020,45838.28
2020,44030.34
2020,43054.48
2020,48116.52
2020,50311.49
2021,50527.65
2021,51375.62
2021,51909.59
2021,54987.17
2021,54629.27
2021,57046.68
2021,58513.94
2021,60675.15
2021,57442.62
2021,62073.01
2021,61610.59
2021,62778.27
2022,57107.4
2022,55368.85
2022,57325.89
2022,50636.88
2022,50111.65
2022,46043.23
2022,50943.36
2022,48764.55
2022,44258.44
2022,47259.91
2022,49755.51
2022,46347.88
2023,49711.15
2023,48672.66
2023,50453.26
2023,50787.73
2023,51678.53
2023,55272.94
