Year,Money
2007,9896.09
2007,9911.22
2007,10063.03
2007,10414.43
2007,10757.44
2007,10627.1
2007,10640.54
2008,10188.83
2008,10097.98
2008,10124.73
2008,10430.48
2008,10593.35
2008,10285.41
2008,10118.11
2008,10222.63
2008,9537.21
2008,8365.35
2008,8532.96
2008,9086.03
2009,8459.72
2009,8088.64
2009,8626.12
2009,8994.3
2009,9199.64
2009,9280.84
2009,9708.53
2009,9908.49
2009,10362.81
2009,10190.98
2009,10670.37
2009,10669.61
2010,10366.21
2010,10662.62
2010,11009.61
2010,11286.36
2010,10956.27
2010,10796.36
2010,11161
2010,11244.45
2010,11987.09
2010,12279.91
2010,12328.26
2010,12550.08
2011,12536.76
2011,12916.05
2011,12961.67
2011,13357.03
2011,13435.58
2011,13229.33
2011,13449.21
2011,13545.23
2011,13498.86
2011,14200.59
2011,14189.18
2011,14239.15
2012,14837.42
2012,15161.91
2012,15248.13
2012,15441.97
2012,15288.63
2012,15456.92
2012,15847.08
2012,16112.86
2012,16200.87
2012,15786.12
2012,16014.35
2012,15845.15
2013,16082.43
2013,16176.56
2013,16490.82
2013,16877.37
2013,16711.39
2013,16208.26
2013,16687.41
2013,16499.79
2013,16913.44
2013,17465.08
2013,17594.47
2013,17742.47
2014,17919.66
2014,18595.99
2014,18416.94
2014,18523.49
2014,19090.51
2014,19450.56
2014,19356.92
2014,20220.15
2014,19831.29
2014,20281.16
2014,20887.1
2014,20999.5
2015,21641.66
2015,21840.32
2015,21746.77
2015,21527.29
2015,21588.66
2015,21089.03
2015,21818.31
2015,20975.48
2015,20759.96
2015,21805.13
2015,21707.66
2015,21501.84
2016,21109.41
2016,21372.97
2016,22215.82
2016,22068.9
2016,22451.5
2016,22989.72
2016,23847.82
2016,23649.17
2016,23610.12
2016,22897.81
2016,22330.14
2016,22374.8
2017,22997.77
2017,23701.64
2017,23868.52
2017,24394.06
2017,25032.85
2017,25039.51
2017,25496.53
2017,26058.13
2017,25998.4
2017,26594.8
2017,27071.49
2017,27352.45
2018,28397.79
2018,27764.38
2018,27658.41
2018,27493.68
2018,28367.75
2018,28576.03
2018,28738.76
2018,29764.56
2018,29520.19
2018,27565.44
2018,27961.14
2018,27219.8
2019,28641.06
2019,29179.02
2019,30167.35
2019,30625.68
2019,30364.51
2019,31863.29
2019,32219.89
2019,33161.41
2019,32877.45
2019,33245.91
2019,34008.12
2019,34243.99
2020,35584.37
2020,34952.54
2020,33246.06
2020,36235.63
2020,37582.13
2020,38489.91
2020,40910.66
2020,42366.96
2020,41392.09
2020,40334.93
2020,43266.81
2020,44413.87
2021,43907.91
2021,43397.8
2021,42845.88
2021,44840.66
2021,44830.73
2021,46554.53
2021,47941.49
2021,48946.24
2021,46807.2
2021,49491.75
2021,49725.74
2021,50022.05
2022,46566.78
2022,45613.88
2022,45739.16
2022,40966.77
2022,40328.67
2022,38155.04
2022,40805.26
2022,39047.1
2022,35704.82
2022,36363.95
2022,38564.09
2022,36683.75
2023,39361.42
2023,38045.51
2023,39672.75
2023,39895.37
2023,39858.9
2023,41505.56
