Year,Money
2007,9002.2
2007,8306.23
2007,8853.27
2007,9256.27
2007,9390.02
2007,8485.11
2007,8025.95
2008,7961.54
2008,7677.26
2008,8224.54
2008,8752.59
2008,8723.18
2008,7782.37
2008,8004.37
2008,8183.87
2008,8114.84
2008,5498.64
2008,4219.45
2008,4885.23
2009,4008.6
2009,3117.71
2009,3218.12
2009,4236.51
2009,4369.39
2009,4206.3
2009,4651.83
2009,5332.11
2009,5712.14
2009,5443.98
2009,5828.1
2009,6234.13
2010,5870.99
2010,6201.71
2010,6853.7
2010,7342.75
2010,6973.02
2010,6606.81
2010,7265.15
2010,7182.9
2010,7485.81
2010,7819.84
2010,7664.41
2010,8027.3
2011,8330.26
2011,8718.75
2011,8585.25
2011,9087.75
2011,9232.2
2011,8921.3
2011,9074.34
2011,8575.57
2011,7617.41
2011,8729.86
2011,8388.75
2011,8785.41
2012,9328.55
2012,9216.31
2012,9689.39
2012,9960.28
2012,9510.67
2012,10027.81
2012,10240.51
2012,10223.48
2012,10016.22
2012,9905.87
2012,9861.41
2012,10227.22
2013,10562.6
2013,10639.46
2013,10921.68
2013,11679.6
2013,10949.65
2013,10751.8
2013,10811.23
2013,10073.79
2013,10386.03
2013,10804.87
2013,10216.13
2013,10241.58
2014,10698.87
2014,11240.8
2014,11320.97
2014,11730.29
2014,12013.92
2014,12110.96
2014,12154.61
2014,12516.89
2014,11772.71
2014,13001.84
2014,13298.12
2014,13545.35
2015,14499.91
2015,13950.37
2015,14202.01
2015,13396.28
2015,13361.88
2015,12739.51
2015,13487.35
2015,12700.41
2015,13098.41
2015,13828.56
2015,13777.92
2015,14110.74
2016,13354.6
2016,13337.34
2016,14743.22
2016,14390.22
2016,14668.5
2016,15582.66
2016,16113.16
2016,15517.93
2016,15306.17
2016,14455.77
2016,14068.62
2016,14699.8
2017,14676.8
2017,15313.34
2017,15093.29
2017,15116.93
2017,15180.78
2017,15476.46
2017,15658.54
2017,15762.17
2017,15592.85
2017,15641.02
2017,16086.18
2017,16023.44
2018,15609.43
2018,14534.82
2018,15095.1
2018,15084.23
2018,15465.67
2018,16148.5
2018,16297.71
2018,16705.72
2018,16305.5
2018,15766.38
2018,16517.73
2018,15286.46
2019,17006.23
2019,17152.18
2019,18110.47
2019,18123.65
2019,18351.16
2019,18657.39
2019,18930.26
2019,19903.68
2019,20158.27
2019,20097.88
2019,19766.62
2019,20177.37
2020,20467.95
2020,19446.19
2020,16858.98
2020,18357.82
2020,18840.23
2020,19173.19
2020,20015.72
2020,19955.58
2020,19386.49
2020,18753.24
2020,20003.58
2020,20396.27
2021,20464.14
2021,20583.36
2021,21702.25
2021,23363.63
2021,23569.95
2021,24412.3
2021,25205.2
2021,25936.12
2021,24241.69
2021,25817.7
2021,25558.92
2021,27878.12
2022,25156.41
2022,24084.04
2022,25849.05
2022,24835.07
2022,23917.78
2022,22275.45
2022,24006.35
2022,22532.65
2022,19449.92
2022,19672.31
2022,21087.9
2022,20054.53
2023,22057.82
2023,20601.13
2023,20487.85
2023,20572.46
2023,19633.37
2023,20636.75
