Year,Money
2007,9647.68
2007,9150.01
2007,9364.39
2007,9539.09
2007,9646.48
2007,9246.79
2007,8919.77
2008,8791.72
2008,8322.73
2008,8295.12
2008,8606.62
2008,8633.06
2008,7634.1
2008,7831.5
2008,7979.36
2008,7694.83
2008,6568.29
2008,6148.09
2008,6273.01
2009,5487.15
2009,4798.47
2009,5231.71
2009,5823.8
2009,6126.21
2009,6204.63
2009,6736.71
2009,6931.58
2009,7188.72
2009,7094.98
2009,7465.05
2009,7680.42
2010,7440.94
2010,7606.91
2010,8045.13
2010,8157.12
2010,7556.67
2010,7362.98
2010,7951.05
2010,7759.56
2010,8360.58
2010,8592.9
2010,8455.39
2010,8938.65
2011,9015.38
2011,9303.3
2011,9455.26
2011,9811.21
2011,9800.63
2011,9661.46
2011,9371.09
2011,9206.19
2011,8680.14
2011,9434.49
2011,9460.42
2011,9606.68
2012,9744.58
2012,10041.37
2012,10230.05
2012,10246.27
2012,9802.05
2012,10258.84
2012,10471.51
2012,10522.98
2012,10703.39
2012,10687.54
2012,10690.18
2012,10766.45
2013,11290.23
2013,11449.13
2013,11928.19
2013,12332.47
2013,12202.44
2013,12084.83
2013,12682.13
2013,12267.13
2013,12687.22
2013,13302.35
2013,13433.74
2013,13685.86
2014,13160.39
2014,13695.28
2014,13999.07
2014,14294.12
2014,14448.37
2014,14740.26
2014,14356.68
2014,14811.09
2014,14494.22
2014,14943.03
2014,15184.45
2014,15076.66
2015,14813.93
2015,15336.87
2015,14994.69
2015,15229.43
2015,15203.15
2015,14686.91
2015,14807.23
2015,14052.06
2015,13927.77
2015,14948.48
2015,14930.7
2015,14757.14
2016,14494.93
2016,14679.61
2016,15734.15
2016,15824.91
2016,15916.33
2016,16400.33
2016,16850.04
2016,16760.13
2016,16825.36
2016,16519.11
2016,16952.58
2016,17343.14
2017,17464.85
2017,17996.7
2017,18053
2017,18083.58
2017,18342.56
2017,18366.3
2017,18649.02
2017,18589.03
2017,19046.05
2017,19402.19
2017,20063.72
2017,20390.95
2018,21144.33
2018,20088.92
2018,19829.31
2018,19840.55
2018,20044.07
2018,20150.62
2018,20924.83
2018,21162.84
2018,21351.1
2018,20311.2
2018,20899.12
2018,19302.74
2019,20578.18
2019,21211.87
2019,21502.18
2019,22082.29
2019,20645.15
2019,21993.89
2019,22174.68
2019,21740.2
2019,22643.46
2019,22961.74
2019,23485.39
2019,24158.08
2020,23642.13
2020,21382.07
2020,18018.2
2020,19993.12
2020,20606.56
2020,20672.52
2020,21455.05
2020,22289.08
2020,21661.34
2020,21569.21
2020,24400.3
2020,25260.3
2021,25103.2
2021,26422.86
2021,28488.72
2021,29326.93
2021,30132.85
2021,29749.11
2021,29909.96
2021,30466.39
2021,29332.71
2021,30467.66
2021,29762.88
2021,31905.24
2022,31730.2
2022,31276.3
2022,32344.36
2022,30963.18
2022,32178.84
2022,29472.96
2022,30667.32
2022,29800.67
2022,27192.33
2022,29863.5
2022,32172.74
2022,31213.66
2023,32400.05
2023,31277.49
2023,31150.46
2023,31291.74
2023,29739.4
2023,31220.34
