Year,Money
2007,987143.68
2007,989026.76
2007,1010329.23
2007,1032986.34
2007,1064016.89
2007,1075839.93
2007,1078941.68
2008,1065037.12
2008,1057949.19
2008,1066620.95
2008,1081943.05
2008,1084501.63
2008,1079580.19
2008,1071578.51
2008,1082507.2
2008,1036183.94
2008,963715.75
2008,1012360.54
2008,1099536.89
2009,1037044.32
2009,1012145.89
2009,1057777.34
2009,1054806.73
2009,1060837.59
2009,1076184.64
2009,1107419.17
2009,1124717.5
2009,1160531.61
2009,1146863.19
2009,1181709.55
2009,1153952.24
2010,1146621.2
2010,1169386.98
2010,1199022.12
2010,1229563.06
2010,1193456.02
2010,1185737.54
2010,1231720.05
2010,1233573.63
2010,1298914.83
2010,1324250.96
2010,1320366.84
2010,1355837.61
2011,1381025.69
2011,1422008.35
2011,1424402.26
2011,1466657.76
2011,1469351.07
2011,1449373.82
2011,1481784.38
2011,1518800.62
2011,1537003.81
2011,1579327.69
2011,1578768.18
2011,1607146.88
2012,1644079.52
2012,1648732.27
2012,1638378.21
2012,1659669.08
2012,1635522.49
2012,1666618.58
2012,1705411.72
2012,1737671.06
2012,1745210.16
2012,1710396.45
2012,1722426.15
2012,1714100.51
2013,1755839.31
2013,1769549.61
2013,1798976.91
2013,1845263.97
2013,1773509.11
2013,1725892.03
2013,1746668.84
2013,1728017.2
2013,1754633.05
2013,1792143.75
2013,1778404.68
2013,1768253.1
2014,1823760.3
2014,1856439.02
2014,1848700.79
2014,1871205.36
2014,1916670.61
2014,1948733.21
2014,1944805.04
2014,2013994.51
2014,1972259.22
2014,2001127.87
2014,2030628.69
2014,2028959.57
2015,2063845.25
2015,2102374.8
2015,2073861.12
2015,2096604.41
2015,2100464.8
2015,2039686.1
2015,2080472.08
2015,2026404.06
2015,2025769.15
2015,2069256.03
2015,2046047.85
2015,2030054.48
2016,2061099.54
2016,2094541
2016,2160686.48
2016,2165368.58
2016,2177940.87
2016,2263088.75
2016,2317005.64
2016,2301752.36
2016,2319004.51
2016,2281920.27
2016,2270818.93
2016,2304588.21
2017,2344375.67
2017,2415216.84
2017,2425104.3
2017,2458046.77
2017,2508326.87
2017,2483095.21
2017,2547729.7
2017,2579799.37
2017,2593430.45
2017,2661591.77
2017,2708354.72
2017,2729357.31
2018,2832563.87
2018,2746024.36
2018,2737702.64
2018,2750644.73
2018,2806618.1
2018,2821990.61
2018,2873143.7
2018,2943835.79
2018,2943529.33
2018,2815523.29
2018,2835572.05
2018,2808089.94
2019,2894865.76
2019,2918485.35
2019,3006591.69
2019,3018847.12
2019,3036906.48
2019,3129419.17
2019,3140234.39
2019,3271509.94
2019,3269120.38
2019,3276133.87
2019,3280452.36
2019,3303909.94
2020,3394269.69
2020,3316256.97
2020,3104937.31
2020,3450417.49
2020,3552987.01
2020,3615049.03
2020,3781959.06
2020,3773271.94
2020,3731699.34
2020,3648914.52
2020,3791520.62
2020,3824826.54
2021,3755916.1
2021,3642135.87
2021,3561052.77
2021,3658068.83
2021,3673497.78
2021,3799382.86
2021,3864254.27
2021,3906636.07
2021,3814870.46
2021,3976349.69
2021,3989265.97
2021,4024678.92
2022,3901928.92
2022,3838504.95
2022,3960777.76
2022,3630386.8
2022,3674031.28
2022,3485586.99
2022,3710630.62
2022,3589880.28
2022,3298412.81
2022,3463918.17
2022,3653515.7
2022,3476725.94
2023,3672628.48
2023,3543176.48
2023,3721082.16
2023,3760755.39
2023,3779037
2023,3894622.96
